#---it-------t---------dt-------urms-------umax-------epsK-------orms--------oum-------rhom--------fum--------TT2m--------Rmesh---
   2300      4.114  1.68E-03  1.575E-01  7.201E-01  1.055E-01  1.636E+00  1.229E-01  3.579E+01 -6.342E-03  2.54135E+01  1.405E+01
   2400      4.280  1.70E-03  1.588E-01  5.797E-01  1.081E-01  1.663E+00  1.190E-01  3.579E+01 -6.449E-03  2.53074E+01  1.394E+01
   2500      4.452  1.73E-03  1.598E-01  6.641E-01  1.120E-01  1.694E+00  1.165E-01  3.579E+01 -5.956E-03  2.52233E+01  1.366E+01
   2600      4.626  1.73E-03  1.621E-01  5.656E-01  1.163E-01  1.729E+00  1.164E-01  3.579E+01 -5.414E-03  2.51573E+01  1.368E+01
   2700      4.796  1.70E-03  1.628E-01  7.306E-01  1.199E-01  1.752E+00  1.129E-01  3.579E+01 -4.969E-03  2.50984E+01  1.392E+01
   2800      4.966  1.71E-03  1.642E-01  7.391E-01  1.236E-01  1.779E+00  1.117E-01  3.579E+01 -3.744E-03  2.50616E+01  1.387E+01
   2900      5.140  1.71E-03  1.643E-01  6.916E-01  1.253E-01  1.798E+00  1.081E-01  3.579E+01 -2.619E-03  2.50366E+01  1.382E+01
   3000      5.314  1.78E-03  1.649E-01  7.356E-01  1.285E-01  1.816E+00  1.054E-01  3.579E+01 -1.732E-03  2.50202E+01  1.326E+01
   3100      5.489  1.68E-03  1.654E-01  6.324E-01  1.317E-01  1.833E+00  1.044E-01  3.579E+01 -1.115E-03  2.50062E+01  1.409E+01
   3200      5.660  1.73E-03  1.663E-01  6.427E-01  1.341E-01  1.853E+00  1.045E-01  3.579E+01 -3.515E-04  2.49851E+01  1.370E+01
   3300      5.838  1.78E-03  1.674E-01  7.118E-01  1.361E-01  1.873E+00  1.047E-01  3.579E+01  1.059E-03  2.49603E+01  1.329E+01
   3400      6.015  1.79E-03  1.679E-01  7.869E-01  1.378E-01  1.888E+00  1.043E-01  3.579E+01  3.343E-03  2.49612E+01  1.320E+01
   3500      6.193  1.78E-03  1.683E-01  6.106E-01  1.390E-01  1.901E+00  1.028E-01  3.579E+01  5.438E-03  2.49823E+01  1.328E+01
   3600      6.372  1.77E-03  1.687E-01  6.538E-01  1.405E-01  1.913E+00  1.032E-01  3.579E+01  7.242E-03  2.50213E+01  1.333E+01
   3700      6.543  1.73E-03  1.691E-01  6.285E-01  1.417E-01  1.920E+00  1.035E-01  3.579E+01  7.515E-03  2.50638E+01  1.364E+01
   3800      6.717  1.69E-03  1.694E-01  7.064E-01  1.421E-01  1.925E+00  1.035E-01  3.579E+01  7.587E-03  2.50859E+01  1.399E+01
   3900      6.893  1.74E-03  1.695E-01  7.750E-01  1.432E-01  1.936E+00  1.052E-01  3.579E+01  7.215E-03  2.51111E+01  1.359E+01
   4000      7.066  1.72E-03  1.702E-01  6.685E-01  1.441E-01  1.944E+00  1.076E-01  3.579E+01  5.541E-03  2.51300E+01  1.372E+01
   4100      7.240  1.74E-03  1.703E-01  6.708E-01  1.446E-01  1.949E+00  1.090E-01  3.579E+01  3.203E-03  2.51219E+01  1.358E+01
   4200      7.410  1.63E-03  1.705E-01  6.239E-01  1.444E-01  1.953E+00  1.098E-01  3.579E+01  1.164E-03  2.50999E+01  1.452E+01
   4300      7.577  1.70E-03  1.704E-01  6.429E-01  1.445E-01  1.955E+00  1.101E-01  3.579E+01 -5.379E-04  2.50777E+01  1.393E+01
   4400      7.748  1.74E-03  1.703E-01  6.621E-01  1.448E-01  1.956E+00  1.099E-01  3.579E+01 -2.171E-03  2.50566E+01  1.362E+01
   4500      7.922  1.77E-03  1.696E-01  8.067E-01  1.449E-01  1.955E+00  1.097E-01  3.579E+01 -3.606E-03  2.50409E+01  1.336E+01
   4600      8.097  1.73E-03  1.695E-01  6.349E-01  1.456E-01  1.955E+00  1.093E-01  3.579E+01 -4.736E-03  2.50253E+01  1.369E+01
   4700      8.267  1.75E-03  1.703E-01  6.663E-01  1.467E-01  1.960E+00  1.114E-01  3.579E+01 -5.313E-03  2.50201E+01  1.350E+01
   4800      8.439  1.67E-03  1.705E-01  7.091E-01  1.469E-01  1.962E+00  1.122E-01  3.579E+01 -5.709E-03  2.50243E+01  1.416E+01
   4900      8.610  1.75E-03  1.710E-01  6.896E-01  1.471E-01  1.965E+00  1.138E-01  3.579E+01 -6.389E-03  2.50306E+01  1.351E+01
   5000      8.784  1.65E-03  1.712E-01  9.090E-01  1.478E-01  1.966E+00  1.150E-01  3.579E+01 -6.843E-03  2.50320E+01  1.437E+01
   5100      8.956  1.77E-03  1.714E-01  7.593E-01  1.482E-01  1.969E+00  1.164E-01  3.579E+01 -6.693E-03  2.50362E+01  1.333E+01
   5200      9.130  1.73E-03  1.718E-01  8.362E-01  1.490E-01  1.972E+00  1.171E-01  3.579E+01 -6.837E-03  2.50456E+01  1.370E+01
   5300      9.304  1.70E-03  1.714E-01  6.750E-01  1.493E-01  1.971E+00  1.176E-01  3.579E+01 -6.208E-03  2.50521E+01  1.390E+01
   5400      9.472  1.69E-03  1.711E-01  7.267E-01  1.496E-01  1.970E+00  1.172E-01  3.579E+01 -5.191E-03  2.50664E+01  1.397E+01
   5500      9.644  1.76E-03  1.713E-01  7.768E-01  1.499E-01  1.971E+00  1.179E-01  3.579E+01 -4.600E-03  2.50811E+01  1.340E+01
   5600      9.822  1.78E-03  1.717E-01  7.795E-01  1.494E-01  1.971E+00  1.177E-01  3.579E+01 -3.435E-03  2.51000E+01  1.328E+01
   5700      9.996  1.72E-03  1.719E-01  7.151E-01  1.491E-01  1.970E+00  1.186E-01  3.579E+01 -2.352E-03  2.51219E+01  1.374E+01
   5800     10.169  1.68E-03  1.724E-01  9.135E-01  1.492E-01  1.974E+00  1.204E-01  3.579E+01 -9.045E-04  2.51427E+01  1.410E+01
   5900     10.335  1.64E-03  1.725E-01  6.815E-01  1.495E-01  1.973E+00  1.208E-01  3.578E+01  2.776E-05  2.51677E+01  1.439E+01
   6000     10.504  1.74E-03  1.726E-01  8.854E-01  1.495E-01  1.972E+00  1.203E-01  3.578E+01  6.111E-04  2.51859E+01  1.355E+01
   6100     10.677  1.77E-03  1.719E-01  7.834E-01  1.488E-01  1.967E+00  1.189E-01  3.578E+01  1.737E-03  2.52093E+01  1.338E+01
   6200     10.856  1.78E-03  1.727E-01  7.249E-01  1.491E-01  1.972E+00  1.204E-01  3.578E+01  1.995E-03  2.52292E+01  1.332E+01
   6300     11.031  1.76E-03  1.729E-01  8.296E-01  1.488E-01  1.973E+00  1.203E-01  3.578E+01  2.314E-03  2.52424E+01  1.343E+01
   6400     11.205  1.72E-03  1.724E-01  8.020E-01  1.480E-01  1.969E+00  1.184E-01  3.578E+01  2.589E-03  2.52598E+01  1.375E+01
   6500     11.378  1.69E-03  1.723E-01  1.211E+00  1.477E-01  1.966E+00  1.182E-01  3.578E+01  1.933E-03  2.52665E+01  1.403E+01
   6600     11.550  1.71E-03  1.728E-01  1.018E+00  1.487E-01  1.973E+00  1.210E-01  3.578E+01  1.848E-03  2.52629E+01  1.383E+01
   6700     11.719  1.69E-03  1.727E-01  8.286E-01  1.479E-01  1.971E+00  1.196E-01  3.578E+01  2.212E-03  2.52644E+01  1.402E+01
   6800     11.891  1.69E-03  1.728E-01  8.135E-01  1.480E-01  1.971E+00  1.195E-01  3.578E+01  1.951E-03  2.52737E+01  1.399E+01
   6900     12.051  1.63E-03  1.728E-01  9.201E-01  1.479E-01  1.970E+00  1.191E-01  3.578E+01  2.024E-03  2.52902E+01  1.455E+01
   7000     12.222  1.69E-03  1.731E-01  6.953E-01  1.482E-01  1.971E+00  1.204E-01  3.578E+01  1.607E-03  2.53137E+01  1.400E+01
   7100     12.391  1.72E-03  1.732E-01  8.564E-01  1.484E-01  1.970E+00  1.204E-01  3.578E+01  4.870E-04  2.53262E+01  1.376E+01
   7200     12.562  1.70E-03  1.727E-01  7.024E-01  1.472E-01  1.962E+00  1.186E-01  3.578E+01 -1.013E-03  2.53275E+01  1.393E+01
